pitches,player_id,player_name,total_pitches,pitch_percent,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,spin_rate,velocity,effective_speed,whiffs,swings,takes,eff_min_vel,release_extension,pos3_int_start_distance,pos4_int_start_distance,pos5_int_start_distance,pos6_int_start_distance,pos7_int_start_distance,pos8_int_start_distance,pos9_int_start_distance
1947,543877,"Vazquez, Christian",1947,100,0.258,0.094,0.301,0.352,0.289,0.276,0.235,118,458,86,13.5,2243,89.1,89.15,161,916,1031,0.1,6.34,108,152,120,148,294,320,292
1938,546318,"Herrera, Odubel",1938,100,0.26,0.156,0.285,0.416,0.312,0.302,0.252,117,450,87.7,6.4,2212,89.1,88.98,194,975,963,-0.1,6.29,115,152,111,149,288,319,297
1926,621028,"Newman, Kevin",1926,100,0.226,0.083,0.236,0.309,0.249,0.275,0.255,117,517,83.9,9.1,2257,88.8,88.77,102,865,1060,0,6.26,106,150,109,146,301,312,280
1918,592626,"Pederson, Joc",1918,100,0.238,0.184,0.281,0.422,0.315,0.333,0.244,102,429,90.4,13.8,2249,88.9,88.91,246,935,983,0,6.36,118,164,125,149,297,325,301
1906,641658,"Hampson, Garrett",1906,100,0.234,0.146,0.291,0.38,0.288,0.291,0.236,106,453,83.7,12.3,2269,89.2,89.43,205,877,1028,0.2,6.25,102,150,102,147,307,327,292
1895,608385,"Winker, Jesse",1895,100,0.305,0.251,0.324,0.556,0.403,0.39,0.295,129,423,90.6,10.8,2229,88.8,88.9,172,855,1040,0.1,6.28,114,157,126,149,295,324,304
1886,656555,"Hoskins, Rhys",1886,100,0.247,0.283,0.27,0.53,0.364,0.378,0.249,96,389,91.2,21.7,2234,89.2,89.29,221,837,1049,0.1,6.34,107,153,120,147,301,327,295
1880,668731,"Baddoo, Akil",1880,100,0.259,0.177,0.335,0.436,0.329,0.309,0.227,107,413,86,13.8,2185,89,88.97,263,872,1008,0,6.25,114,151,108,151,292,325,299
1877,543281,"Harrison, Josh",1877,100,0.279,0.121,0.313,0.4,0.325,0.333,0.278,141,505,87,14.6,2250,89,88.88,195,1040,836,-0.1,6.35,106,152,113,146,301,318,288
1876,596146,"Kepler, Max",1876,100,0.211,0.202,0.225,0.413,0.309,0.347,0.255,90,426,89.8,16.3,2207,88.8,88.87,193,839,1037,0.1,6.28,116,164,126,151,297,325,299
1868,488726,"Brantley, Michael",1868,100,0.311,0.126,0.337,0.437,0.347,0.361,0.312,146,469,89.4,9.8,2166,88.9,88.93,93,851,1017,0,6.33,115,155,121,152,288,325,301
1858,578428,"Iglesias, Jose",1858,100,0.271,0.12,0.305,0.391,0.304,0.297,0.27,131,483,85.4,11.5,2223,88.7,87.94,193,1021,837,-0.8,6.3,107,151,113,147,301,318,287
1857,621563,"Wendle, Joey",1857,100,0.265,0.157,0.327,0.422,0.317,0.286,0.238,122,460,87.5,6.1,2237,88.4,88.37,223,893,963,0,6.39,114,149,109,150,287,322,302
1850,642086,"Smith, Dominic",1850,100,0.244,0.119,0.298,0.363,0.291,0.325,0.262,109,446,89,14.9,2231,88.5,88.52,265,962,888,0,6.32,114,157,126,148,293,322,302
1845,596142,"Sanchez, Gary",1845,100,0.204,0.219,0.23,0.423,0.314,0.336,0.228,78,383,89.5,20.5,2235,89.4,89.59,239,814,1031,0.2,6.42,107,155,122,147,303,331,293
1836,666915,"Dalbec, Bobby",1836,100,0.24,0.254,0.316,0.494,0.334,0.344,0.236,100,417,92.4,17.3,2234,88.5,88.48,353,925,911,0,6.28,107,152,121,146,296,325,298
1815,543939,"Wong, Kolten",1815,100,0.272,0.175,0.305,0.447,0.337,0.308,0.251,121,445,87.4,12.5,2232,88.6,87.46,163,869,946,-1.1,6.29,114,150,106,151,292,319,299
1812,623993,"Santander, Anthony",1812,100,0.241,0.192,0.275,0.433,0.307,0.328,0.269,98,406,90.5,17.8,2173,88.8,88.95,234,934,878,0.1,6.38,112,156,121,150,296,324,296
1809,683734,"Vaughn, Andrew",1809,100,0.235,0.161,0.271,0.396,0.306,0.332,0.243,98,417,91.1,9.7,2248,88.6,88.69,202,821,988,0.1,6.31,105,151,119,146,302,324,291
1797,571980,"Naquin, Tyler",1797,100,0.27,0.207,0.318,0.477,0.345,0.34,0.264,111,411,88.9,8.7,2231,89.3,89.5,240,1011,786,0.2,6.32,113,152,119,149,292,323,301
1789,455117,"Maldonado, Martin",1789,100,0.172,0.129,0.221,0.3,0.258,0.267,0.183,64,373,87.3,17.5,2239,88.8,88.84,221,766,1022,0,6.34,108,153,119,146,297,323,288
1777,605113,"Ahmed, Nick",1777,100,0.221,0.118,0.279,0.339,0.269,0.249,0.208,96,434,86.2,9.6,2258,89.2,88.99,237,888,889,-0.2,6.38,107,152,113,147,304,322,293
1774,572233,"Walker, Christian",1774,100,0.244,0.137,0.307,0.382,0.304,0.311,0.249,98,401,88.8,15.6,2247,89.6,89.36,260,951,823,-0.2,6.37,109,153,120,148,307,328,298
1757,457763,"Posey, Buster",1757,100,0.304,0.195,0.349,0.499,0.379,0.361,0.281,120,395,88.5,8.7,2293,89,89.07,187,783,974,0.1,6.29,108,153,122,148,305,324,293
1756,541645,"Garcia, Avisail",1756,100,0.262,0.228,0.291,0.49,0.346,0.366,0.278,121,461,90.4,9.3,2267,88.5,87.41,344,1020,736,-1.1,6.24,106,152,119,146,305,324,294
1734,595777,"Profar, Jurickson",1734,100,0.227,0.093,0.266,0.32,0.293,0.302,0.238,80,353,84.9,14,2256,88.9,88.83,136,758,976,-0.1,6.28,114,153,115,149,293,321,297
1727,527038,"Flores, Wilmer",1727,100,0.262,0.185,0.264,0.447,0.337,0.312,0.238,102,389,88.6,18,2255,88.3,88.48,130,794,933,0.2,6.34,108,153,121,147,301,322,295
1706,622534,"Margot, Manuel",1706,100,0.254,0.128,0.281,0.382,0.301,0.318,0.268,107,421,87.3,10.4,2206,89.2,89.25,177,872,833,0,6.42,103,152,107,147,302,324,289
1697,607732,"Stallings, Jacob",1697,100,0.246,0.123,0.297,0.369,0.312,0.314,0.245,92,374,87.9,10.6,2236,88.8,88.83,168,721,976,0,6.28,108,152,118,147,304,318,288
1697,570482,"Urshela, Gio",1697,100,0.267,0.152,0.329,0.419,0.309,0.304,0.252,112,420,88.9,7.5,2273,89.1,89.09,229,916,781,0,6.36,107,153,121,148,307,325,287
1694,669221,"Murphy, Sean",1694,100,0.216,0.188,0.257,0.405,0.309,0.337,0.24,85,393,89.2,15.4,2275,88,87.85,224,806,888,-0.1,6.31,107,153,121,146,303,324,292
1693,600474,"Severino, Pedro",1693,100,0.248,0.135,0.314,0.383,0.299,0.311,0.249,94,379,88.2,15.2,2235,88.5,88.59,239,811,882,0.1,6.43,107,153,120,147,299,322,288
1682,598265,"Bradley Jr., Jackie",1682,100,0.163,0.098,0.226,0.261,0.224,0.253,0.194,63,387,89.7,9.6,2275,88.4,87.66,276,804,878,-0.7,6.23,115,151,114,151,294,321,300
1673,664761,"Bohm, Alec",1673,100,0.247,0.095,0.327,0.342,0.285,0.313,0.261,94,380,92,5.6,2248,89.6,89.65,218,818,855,0.1,6.33,108,152,120,149,306,322,288
1672,544725,"Garcia, Leury",1672,100,0.267,0.108,0.333,0.376,0.312,0.291,0.24,111,415,84,3.4,2189,88.9,89,214,880,792,0.1,6.3,107,148,103,147,287,319,295
1669,425877,"Molina, Yadier",1669,100,0.252,0.118,0.283,0.37,0.29,0.306,0.255,111,440,88,15.3,2269,88.8,88.98,229,953,716,0.2,6.33,109,154,121,148,306,323,292
1669,518735,"Grandal, Yasmani",1669,100,0.24,0.28,0.246,0.52,0.402,0.412,0.258,67,279,92.6,13.4,2204,88.9,89.02,133,533,1136,0.1,6.32,112,163,125,150,296,326,301
1645,592743,"Simmons, Andrelton",1645,100,0.223,0.051,0.256,0.274,0.252,0.261,0.23,92,412,82.9,4.1,2247,88.7,88.68,122,740,905,0,6.27,106,152,111,146,297,317,285
1632,650489,"Castro, Willi",1632,100,0.22,0.131,0.275,0.351,0.271,0.291,0.244,91,413,84.6,10.8,2192,88.9,88.85,270,923,709,-0.1,6.26,111,150,110,150,292,322,295
1631,621550,"Wisdom, Patrick",1631,100,0.231,0.287,0.318,0.518,0.346,0.321,0.216,78,338,91.2,19.1,2235,89,89.13,337,816,815,0.1,6.34,108,152,121,146,299,326,298
1625,553882,"Narvaez, Omar",1625,100,0.266,0.136,0.308,0.402,0.322,0.304,0.235,104,391,84.6,17.9,2256,88.7,87.71,200,848,776,-1,6.28,114,164,123,151,291,321,303
